T186;2090976;40036918;2;12;6;13;4;7;14;6;1;5;33;1;2;2;1932;5;0;4
T362;2318590;37762816;3;39;4;11;2;5;17;7;2;3;12;0;1;3;1977;1;2;5
T435;2775132;28088825;2;19;2;19;5;0;0;1;0;1;15;2;1;12;1951;3;0;3
T324;1868459;17739464;3;41;1;17;3;1;18;10;2;4;73;1;2;7;1990;2;2;3
T1;3795170;45501043;1;24;0;7;3;0;19;10;5;0;61;4;1;7;1937;2;1;1
T85;4291804;47324263;5;23;2;9;3;6;20;5;4;4;60;3;2;10;1950;4;1;1
T417;1181773;22855918;6;64;4;17;5;8;20;0;4;2;58;3;1;9;1920;2;2;0
T395;4861832;17151683;3;16;6;11;0;5;9;5;5;3;53;4;0;6;1956;0;2;1
T30;3902551;39897253;2;45;7;15;0;4;2;5;2;0;36;2;1;1;2015;4;1;3
T40;2271870;17787131;0;61;4;16;4;1;20;5;5;1;9;1;0;9;1919;1;1;1
T334;4917529;35430683;5;12;6;9;3;3;19;2;0;1;22;3;1;0;1954;0;2;2
T206;3168808;12972700;0;20;2;14;0;1;17;0;1;1;0;3;0;12;1919;3;2;1
T317;3890619;36955037;5;53;10;11;5;0;0;4;2;2;19;3;2;9;1946;5;1;2
T8;2172100;13965253;0;54;0;11;4;5;19;10;2;4;30;1;1;9;1909;4;0;0
T328;1705692;35911315;2;27;9;5;0;5;10;1;2;5;32;0;1;4;1914;5;1;3
T32;1277809;15085628;3;53;1;20;3;4;6;5;3;2;50;0;1;6;2013;0;1;0
T455;1030384;30110235;5;27;3;19;2;1;15;6;0;0;16;5;0;2;1947;3;2;5
T293;1380812;25380818;3;32;7;13;0;6;5;3;1;5;69;2;1;6;1958;4;1;4
T187;2491461;18304541;4;55;7;12;2;3;6;8;4;0;53;0;1;10;1901;0;1;1
T257;2255030;47049877;0;18;7;20;2;1;6;4;5;2;76;5;1;3;1930;4;2;4
T182;1515833;21830039;0;32;9;0;2;8;8;5;1;0;38;1;1;12;1937;2;2;2
T446;1372438;48560886;1;56;8;5;0;4;8;4;4;5;56;3;2;9;1904;2;1;0
T357;1333601;23973922;1;32;7;11;0;7;1;9;3;3;28;5;2;10;1928;4;1;4
T175;3822801;46874604;1;18;10;9;2;6;6;5;1;2;90;3;1;0;2001;0;1;3
T68;4986639;15006754;3;65;6;19;2;8;0;7;3;2;36;4;2;12;1981;5;1;4
T221;1930600;24973596;3;64;3;12;2;4;15;7;1;1;71;3;1;12;2009;1;1;3
T209;1026746;19077071;5;20;9;13;1;3;9;3;0;1;72;1;0;4;1915;5;1;0
T20;2732317;40842810;4;37;2;2;5;5;2;0;3;1;69;0;0;10;1948;4;1;4
T432;4323438;26119348;1;16;5;12;0;1;4;3;5;2;93;3;1;0;1981;1;0;0
T274;4809612;22733081;1;33;7;15;0;4;10;3;5;3;32;1;0;0;1962;5;1;0
T214;2188153;40664234;4;36;3;14;3;8;18;5;1;1;12;1;0;3;1996;1;1;1
T15;1500355;25485592;1;23;3;20;1;1;5;9;4;2;51;2;2;1;2009;5;0;1
T279;2704041;40094436;2;23;5;18;2;10;0;2;4;5;22;3;2;6;1962;1;1;0
T444;1524370;24446978;2;51;10;16;1;8;12;1;4;5;10;3;0;12;2015;3;0;0
T257;3426689;16485359;6;53;10;16;1;7;0;6;0;2;7;3;0;12;1932;0;1;1
T474;3844251;10904622;5;34;5;14;1;2;4;4;4;3;77;0;2;6;2005;2;0;1
T150;1164409;42026721;6;40;5;8;2;9;13;8;1;0;24;5;1;12;1908;5;0;1
T263;2322335;48065919;0;21;1;3;5;3;0;0;5;3;89;2;0;10;1939;1;2;2
T216;4233096;37929767;3;18;1;10;0;3;15;1;0;3;89;1;2;2;1911;5;1;2
T367;1802675;34228842;5;24;7;12;0;0;15;2;2;2;29;1;2;7;1981;1;1;4
T192;1990079;22284326;5;15;6;12;2;5;1;0;4;5;83;3;2;3;1984;2;1;4
T413;3034312;27230546;3;58;8;2;3;4;3;7;5;2;43;0;1;8;2010;1;1;1
T150;2530995;39136116;0;36;0;2;0;8;5;1;3;0;56;5;1;8;1995;3;0;4
T227;2502156;28987132;2;44;3;15;5;4;18;5;1;3;54;2;2;7;1986;0;0;3
T92;2216571;34511323;2;32;10;20;4;5;18;6;1;2;67;2;2;1;1937;3;2;2
T400;3973341;47308534;3;18;0;5;5;0;16;7;2;2;11;0;1;6;2019;2;0;1
T218;1939782;48397623;1;48;1;15;0;0;0;6;4;5;0;5;1;6;1988;1;1;5
T127;1237602;37467117;1;20;10;6;2;1;16;10;2;3;76;2;2;6;1921;0;0;3
T189;1443938;48814039;4;59;8;4;0;8;10;8;2;5;47;3;1;10;2006;4;2;1
T150;4513667;44358826;4;11;10;2;1;9;13;2;2;0;96;3;2;4;2016;5;0;5
T68;1455075;18180065;5;62;5;8;2;10;17;7;0;0;75;1;2;3;1906;1;1;1
T105;4680921;24495422;2;57;2;11;0;7;5;2;4;2;94;5;2;12;1903;1;1;2
T163;4501177;44139795;6;37;10;10;4;3;9;8;4;3;36;2;0;11;1958;2;1;5
T364;1532837;28929967;5;30;1;7;2;9;17;10;4;3;28;2;2;0;1942;2;1;2
T421;2731855;14695556;4;53;3;18;4;3;4;2;2;5;28;2;1;11;1993;3;1;2
T159;4482749;35249151;1;25;3;1;2;5;13;3;4;2;46;4;1;2;2016;5;2;1
T215;3762022;24732154;2;33;0;9;4;9;11;6;1;0;19;3;2;8;1960;4;1;2
T268;1655924;44195607;1;54;0;2;2;5;12;1;2;5;44;4;2;6;1910;0;1;4
T419;3165457;29546274;6;28;3;11;0;0;16;8;1;3;71;5;2;4;1990;5;1;0
T22;2324314;30684882;5;46;7;17;4;0;15;7;2;3;61;3;0;1;1905;5;1;4
T414;2004659;44933220;4;59;2;2;0;9;10;6;0;4;42;3;2;10;1941;4;2;2
T40;4296259;21645118;6;60;2;14;4;0;5;1;2;1;24;3;1;1;1904;1;1;3
T164;3177092;36204975;0;41;5;7;1;8;11;2;4;5;47;1;1;12;1976;5;1;5
T376;1322742;10607309;0;17;0;3;2;10;17;5;0;2;19;2;2;1;1939;0;2;1
T308;4274783;20536344;3;39;1;16;3;6;18;4;5;0;86;2;1;1;1945;4;1;0
T2;1145670;45980143;0;34;0;17;2;7;6;2;3;5;30;5;2;5;2011;2;2;3
T125;4105183;44264288;1;40;7;12;5;3;11;1;0;4;9;0;1;4;1954;4;1;4
T125;1094438;40509762;1;56;4;17;4;8;4;2;1;4;18;4;1;7;1937;0;0;5
T259;3140990;49412512;2;15;6;0;3;2;15;8;5;0;34;1;0;9;1997;5;0;0
T495;3548402;32341682;3;26;1;3;1;9;10;3;2;4;23;1;2;12;2014;4;2;0
T95;3542131;34965187;5;28;8;10;5;3;5;5;4;1;91;4;2;10;1948;1;0;1
T256;2521212;44431587;0;65;2;12;2;6;5;9;1;5;85;2;0;7;1991;2;2;4
